CourseID,CourseName,Credits
251DS1,Data Structure,3
251DS2,Data Structure,3
251DS3,Data Structure,3
251DB1,Database Systems,3
251DB2,Database Systems,3
251DB3,Database Systems,3
251OS1,Operating Systems,4
251OS2,Operating Systems,4
251OS3,Operating Systems,4
251CN1,Computer Networks,3
251CN2,Computer Networks,3
251CN3,Computer Networks,3
251OOP1,Object Oriented Programming,3
251OOP2,Object Oriented Programming,3
251OOP3,Object Oriented Programming,3
251SE1,Software Engineering,3
251SE2,Software Engineering,3
251SE3,Software Engineering,3
251AI1,Artificial Intelligence,3
251AI2,Artificial Intelligence,3
251AI3,Artificial Intelligence,3
251ML1,Machine Learning,3
251ML2,Machine Learning,3
251ML3,Machine Learning,3
251DM1,Data Mining,3
251DM2,Data Mining,3
251DM3,Data Mining,3
251WP1,Web Programming,3
251WP2,Web Programming,3
251WP3,Web Programming,3
